,Joined,Locus tag,Name
0,NC_22356.1_1736372_1736899,HIFGL_RS08325,inorganic diphosphatase
1,NC_22356.1_1265485_1267194,HIFGL_RS06105,acetolactate synthase 3 large subunit
2,NC_22356.1_1265000_1265473,HIFGL_RS06100,acetolactate synthase small subunit
3,NC_22356.1_558145_559668,HIFGL_RS02775,catalase
4,NC_22356.1_942655_945264,HIFGL_RS04620,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type"
5,NC_22356.1_588616_589668,HIFGL_RS02925,beta-N-acetylhexosaminidase
6,NC_22356.1_1580700_1582991,HIFGL_RS07605,glycoside hydrolase family 31 protein
7,NC_22356.1_999258_999917,HIFGL_RS04835,lipooligosaccharide biosynthesis galactosyltransferase LsgF
8,NC_22356.1_1293218_1293823,HIFGL_RS06230,riboflavin synthase
9,NC_22356.1_146521_148050,HIFGL_RS00705,F0F1 ATP synthase subunit alpha
10,NC_22356.1_144237_145604,HIFGL_RS00695,F0F1 ATP synthase subunit beta
11,NC_22356.1_145627_146493,HIFGL_RS00700,F0F1 ATP synthase subunit gamma
12,NC_22356.1_148066_148596,HIFGL_RS00710,F0F1 ATP synthase subunit delta
13,NC_22356.1_22266_25082,HIFGL_RS00120,excinuclease ABC subunit UvrA
14,NC_22356.1_1142487_1143254,HIFGL_RS05510,phosphate ABC transporter ATP-binding protein PstB
15,NC_22356.1_1002628_1003680,HIFGL_RS04855,molybdenum ABC transporter ATP-binding protein ModC
16,NC_22356.1_1497997_1499625,HIFGL_RS07195,cysteine/glutathione ABC transporter ATP-binding protein/permease CydC
17,NC_22356.1_302505_303971,HIFGL_RS01500,thiol reductant ABC exporter subunit CydC
18,NC_22356.1_1496141_1497895,HIFGL_RS07190,cysteine/glutathione ABC transporter permease/ATP-binding protein CydD
19,NC_22356.1_300809_302293,HIFGL_RS01495,ABC transporter ATP-binding protein/permease
20,NC_22356.1_1476737_1477765,HIFGL_RS07095,heme ABC transporter ATP-binding protein FbpC
21,NC_22356.1_1232548_1233684,HIFGL_RS05955,spermidine/putrescine ABC transporter ATP-binding protein PotA
22,NC_22356.1_1738623_1739570,HIFGL_RS08335,ferric ABC transporter ATP-binding protein
23,NC_22356.1_720750_722576,HIFGL_RS03540,ABC transporter ATP-binding protein
24,NC_22356.1_1563822_1565351,HIFGL_RS07510,ABC transporter ATP-binding protein/permease
25,NC_22356.1_779471_780976,HIFGL_RS03815,D-xylose ABC transporter ATP-binding protein
26,NC_22356.1_356503_357981,HIFGL_RS01750,ribose ABC transporter ATP-binding protein RbsA
27,NC_22356.1_499718_501223,HIFGL_RS02495,galactose/methyl galactoside ABC transporter ATP-binding protein MglA
28,NC_22356.1_1589763_1591337,HIFGL_RS07640,lipid A ABC transporter ATP-binding protein/permease MsbA
29,NC_22356.1_1464951_1465898,HIFGL_RS07045,peptide ABC transporter ATP-binding protein
30,NC_22356.1_790748_791629,HIFGL_RS03865,murein tripeptide/oligopeptide ABC transporter ATP binding protein OppF
31,NC_22356.1_1466126_1466914,HIFGL_RS07050,dipeptide ABC transporter ATP-binding protein
32,NC_22356.1_756483_757271,HIFGL_RS03700,phospholipid ABC transporter ATP-binding protein MlaF
33,NC_22356.1_791758_792699,HIFGL_RS03870,ABC transporter ATP-binding protein
34,NC_22356.1_750117_750863,HIFGL_RS03655,amino acid ABC transporter ATP-binding protein
35,NC_22356.1_1001058_1001783,HIFGL_RS04845,molybdate ABC transporter substrate-binding protein
36,NC_22356.1_184744_186144,HIFGL_RS00880,TrkH family potassium uptake protein
37,NC_22356.1_1462459_1463187,HIFGL_RS07030,arginine ABC transporter ATP-binding protein ArtP
38,NC_22356.1_967733_969208,HIFGL_RS04720,energy-dependent translational throttle protein EttA
39,NC_22356.1_1635312_1636343,HIFGL_RS07820,methionine ABC transporter ATP-binding protein MetN
40,NC_22356.1_815870_817237,HIFGL_RS03995,glutathione-disulfide reductase
41,NC_22356.1_438075_438860,HIFGL_RS02115,nucleoside triphosphate pyrophosphohydrolase
42,NC_22356.1_585033_585485,HIFGL_RS02900,dUTP diphosphatase
43,NC_22356.1_47646_48428,HIFGL_RS00230,NAD(+) diphosphatase
44,NC_22356.1_1606186_1607073,HIFGL_RS07695,NAD(+) kinase
45,NC_22356.1_1112770_1114305,HIFGL_RS05415,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
46,NC_22356.1_1114322_1115743,HIFGL_RS05420,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta
47,NC_22356.1_1056050_1057594,HIFGL_RS05160,signal peptide peptidase SppA
48,NC_22356.1_393822_394556,HIFGL_RS01925,5'/3'-nucleotidase SurE
49,NC_22356.1_405083_405802,HIFGL_RS01965,lipoprotein e(P4)
50,NC_22356.1_99567_100205,HIFGL_RS00470,adenylate kinase
51,NC_22356.1_94820_95434,HIFGL_RS00445,dephospho-CoA kinase
52,NC_22356.1_313544_315259,HIFGL_RS01570,urease subunit alpha
53,NC_22356.1_312848_313147,HIFGL_RS01560,urease subunit gamma
