,Joined,Locus tag,Name
0,NZ_CP007470.1_1203328_1203855,NTHI477_RS05750,inorganic diphosphatase
1,NZ_CP007470.1_85210_86919,NTHI477_RS00365,acetolactate synthase 3 large subunit
2,NZ_CP007470.1_86931_87404,NTHI477_RS00370,acetolactate synthase small subunit
3,NZ_CP007470.1_809445_810968,NTHI477_RS03845,catalase
4,NZ_CP007470.1_421384_423993,NTHI477_RS02035,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type"
5,NZ_CP007470.1_778823_779875,NTHI477_RS03685,beta-N-acetylhexosaminidase
6,NZ_CP007470.1_46262_46921,NTHI477_RS00220,lipooligosaccharide biosynthesis galactosyltransferase LsgF
7,NZ_CP007470.1_498885_499490,NTHI477_RS02355,riboflavin synthase
8,NZ_CP007470.1_1615058_1616587,NTHI477_RS07905,F0F1 ATP synthase subunit alpha
9,NZ_CP007470.1_1612774_1614141,NTHI477_RS07895,F0F1 ATP synthase subunit beta
10,NZ_CP007470.1_1614164_1615030,NTHI477_RS07900,F0F1 ATP synthase subunit gamma
11,NZ_CP007470.1_1616603_1617133,NTHI477_RS07910,F0F1 ATP synthase subunit delta
12,NZ_CP007470.1_1339526_1342333,NTHI477_RS06370,excinuclease ABC subunit UvrA
13,NZ_CP007470.1_263879_264646,NTHI477_RS01385,phosphate ABC transporter ATP-binding protein PstB
14,NZ_CP007470.1_49697_50749,NTHI477_RS00240,molybdenum ABC transporter ATP-binding protein ModC
15,NZ_CP007470.1_1783283_1784749,NTHI477_RS08755,thiol reductant ABC exporter subunit CydC
16,NZ_CP007470.1_594914_596539,NTHI477_RS02850,cysteine/glutathione ABC transporter ATP-binding protein/permease CydC
17,NZ_CP007470.1_593058_594812,NTHI477_RS02845,cysteine/glutathione ABC transporter permease/ATP-binding protein CydD
18,NZ_CP007470.1_1781587_1783071,NTHI477_RS08750,ABC transporter ATP-binding protein/permease
19,NZ_CP007470.1_1161007_1162035,NTHI477_RS05555,heme ABC transporter ATP-binding protein FbpC
20,NZ_CP007470.1_318912_320048,NTHI477_RS01565,spermidine/putrescine ABC transporter ATP-binding protein PotA
