,Joined,Locus tag,Name
0,NZ_CP031237.1_432797_433324,DV365_RS02200,inorganic diphosphatase
1,NZ_CP031237.1_1010871_1009162,DV365_RS04950,acetolactate synthase 3 large subunit
2,NZ_CP031237.1_1009150_1008677,DV365_RS04945,acetolactate synthase small subunit
3,NZ_CP031237.1_1393282_1391759,DV365_RS06805,catalase
4,NZ_CP031237.1_712566_709957,DV365_RS03485,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type"
5,NZ_CP031237.1_1361120_1362172,DV365_RS06645,beta-N-acetylhexosaminidase
6,NZ_CP031237.1_521311_519008,DV365_RS02625,glycoside hydrolase family 31 protein
7,NZ_CP031237.1_642490_643149,DV365_RS03175,lipooligosaccharide biosynthesis galactosyltransferase LsgF
8,NZ_CP031237.1_1036816_1037421,DV365_RS05080,riboflavin synthase
9,NZ_CP031237.1_68474_70003,DV365_RS00355,F0F1 ATP synthase subunit alpha
10,NZ_CP031237.1_70920_72287,DV365_RS00365,F0F1 ATP synthase subunit beta
11,NZ_CP031237.1_70031_70897,DV365_RS00360,F0F1 ATP synthase subunit gamma
12,NZ_CP031237.1_67928_68458,DV365_RS00350,F0F1 ATP synthase subunit delta
13,NZ_CP031237.1_290088_292904,DV365_RS01540,excinuclease ABC subunit UvrA
14,NZ_CP031237.1_901839_902606,DV365_RS04490,phosphate ABC transporter ATP-binding protein PstB
15,NZ_CP031237.1_645925_646977,DV365_RS03195,molybdenum ABC transporter ATP-binding protein ModC
16,NZ_CP031237.1_1704451_1702997,DV365_RS08370,thiol reductant ABC exporter subunit CydC
17,NZ_CP031237.1_1138460_1140088,DV365_RS05595,cysteine/glutathione ABC transporter ATP-binding protein/permease CydC
18,NZ_CP031237.1_1136604_1138358,DV365_RS05590,cysteine/glutathione ABC transporter permease/ATP-binding protein CydD
19,NZ_CP031237.1_1706159_1704675,DV365_RS08375,ABC transporter ATP-binding protein/permease
20,NZ_CP031237.1_467678_466650,DV365_RS02380,heme ABC transporter ATP-binding protein FbpC
21,NZ_CP031237.1_947340_948476,DV365_RS04645,spermidine/putrescine ABC transporter ATP-binding protein PotA
22,NZ_CP031237.1_430124_431146,DV365_RS02190,ferric ABC transporter ATP-binding protein
23,NZ_CP031237.1_644311_645063,DV365_RS03185,molybdate ABC transporter substrate-binding protein
24,NZ_CP031237.1_1245901_1247727,DV365_RS06105,ABC transporter ATP-binding protein
25,NZ_CP031237.1_538185_536656,DV365_RS02720,ABC transporter ATP-binding protein/permease
26,NZ_CP031237.1_54217_52760,DV365_RS00260,ribose ABC transporter ATP-binding protein RbsA
