,Joined,Locus tag,Name
0,NZ_MTBH01000078.1_995_1522,BV935_RS08675,inorganic diphosphatase
1,NZ_MTBH01000030.1_10636_12345,BV935_RS06040,acetolactate synthase 3 large subunit
2,NZ_MTBH01000030.1_12357_12830,BV935_RS06045,acetolactate synthase small subunit
3,NZ_MTBH01000008.1_38666_40189,BV935_RS02405,catalase
4,NZ_MTBH01000038.1_12464_15073,BV935_RS06850,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type"
5,NZ_MTBH01000001.1_9026_10072,BV935_RS00055,beta-N-acetylhexosaminidase
6,NZ_MTBH01000024.1_20739_23033,BV935_RS05310,glycoside hydrolase family 31 protein
7,NZ_MTBH01000034.1_15242_15904,BV935_RS06500,lipooligosaccharide biosynthesis galactosyltransferase LsgF
8,NZ_MTBH01000097.1_2107_2712,BV935_RS09240,riboflavin synthase
9,NZ_MTBH01000003.1_31772_33277,BV935_RS00885,D-xylose ABC transporter ATP-binding protein
10,NZ_MTBH01000003.1_43049_43930,BV935_RS00935,murein tripeptide/oligopeptide ABC transporter ATP binding protein OppF
11,NZ_MTBH01000003.1_8442_9230,BV935_RS00765,phospholipid ABC transporter ATP-binding protein MlaF
12,NZ_MTBH01000003.1_44059_45000,BV935_RS00940,ABC transporter ATP-binding protein
13,NZ_MTBH01000003.1_2076_2822,BV935_RS00720,amino acid ABC transporter ATP-binding protein
14,NZ_MTBH01000011.1_37542_39047,BV935_RS03170,galactose/methyl galactoside ABC transporter ATP-binding protein MglA
15,NZ_MTBH01000015.1_21088_22035,BV935_RS03885,peptide ABC transporter ATP-binding protein
16,NZ_MTBH01000015.1_22230_23051,BV935_RS03890,dipeptide ABC transporter ATP-binding protein
17,NZ_MTBH01000015.1_18596_19324,BV935_RS03870,arginine ABC transporter ATP-binding protein ArtP
18,NZ_MTBH01000024.1_3861_5390,BV935_RS05215,ABC transporter ATP-binding protein/permease
19,NZ_MTBH01000034.1_17063_17770,BV935_RS06510,molybdate ABC transporter substrate-binding protein
20,NZ_MTBH01000049.1_7457_9031,BV935_RS07540,lipid A ABC transporter ATP-binding protein/permease MsbA
21,NZ_MTBH01000051.1_8427_10253,BV935_RS07635,ABC transporter ATP-binding protein
22,NZ_MTBH01000101.1_802_1833,BV935_RS09300,methionine ABC transporter ATP-binding protein MetN
